code,now_cost,team_name
232892,45,Fulham
60706,40,Liverpool
169187,80,Liverpool
116535,55,Liverpool
535928,50,Liverpool
447203,75,Liverpool
194634,80,Liverpool
444884,50,Liverpool
116643,50,Liverpool
243298,75,Liverpool
171287,45,Liverpool
56979,50,Liverpool
206915,50,Liverpool
200720,40,Liverpool
204716,50,Liverpool
244731,75,Liverpool
243016,60,Liverpool
60914,50,Liverpool
197464,40,Liverpool
122798,65,Liverpool
118748,125,Liverpool
424876,70,Liverpool
61558,50,Liverpool
214285,45,Liverpool
444765,40,Liverpool
97032,60,Liverpool
184704,45,Luton
174310,50,Luton
208904,40,Luton
165183,40,Luton
82738,50,Luton
156658,40,Luton
193195,50,Luton
96784,50,Luton
244262,45,Luton
49083,50,Luton
113534,40,Luton
422303,45,Luton
453537,45,Luton
156700,55,Luton
174595,45,Luton
229164,50,Luton
168035,50,Luton
199056,45,Luton
490180,45,Luton
243532,45,Luton
108411,40,Luton
165152,45,Luton
77818,45,Luton
242500,45,Luton
232477,45,Luton
207722,40,Luton
223333,45,Luton
91046,45,Luton
232351,45,Luton
108796,45,Luton
104047,50,Luton
222677,50,Luton
476369,40,Luton
211975,50,Man City
126184,50,Man City
461358,65,Man City
165809,65,Man City
477555,45,Man City
121145,60,Man City
17601,40,Man City
463210,45,Man City
61366,105,Man City
171314,55,Man City
220394,45,Man City
121160,55,Man City
209244,75,Man City
114283,75,Man City
223094,140,Man City
91651,50,Man City
146941,50,Man City
477064,45,Man City
103025,75,Man City
432714,45,Man City
88248,40,Man City
244851,50,Man City
482769,45,Man City
155405,50,Man City
220566,55,Man City
437468,40,Man City
164484,40,Man City
97299,55,Man City
58621,50,Man City
184341,70,Man Utd
152590,45,Man Utd
493250,45,Man Utd
467169,70,Man Utd
141746,85,Man Utd
232937,40,Man Utd
197365,40,Man Utd
61256,55,Man Utd
216051,50,Man Utd
80607,60,Man Utd
515501,40,Man Utd
101582,50,Man Utd
493105,50,Man Utd
465527,45,Man Utd
21205,40,Man Utd
172649,45,Man Utd
184667,45,Man Utd
95658,45,Man Utd
516895,45,Man Utd
222690,45,Man Utd
148225,65,Man Utd
221820,50,Man Utd
195851,50,Man Utd
244856,40,Man Utd
488404,45,Man Utd
90152,50,Man Utd
176297,90,Man Utd
209243,70,Man Utd
106760,55,Man Utd
472464,45,Man Utd
180184,50,Man Utd
214590,45,Man Utd
202641,50,Man Utd
179018,65,Newcastle
215379,45,Newcastle
441024,40,Newcastle
220237,45,Newcastle
208706,60,Newcastle
78916,45,Newcastle
59735,40,Newcastle
67089,40,Newcastle
90105,50,Newcastle
81441,40,Newcastle
232826,55,Newcastle
153127,45,Newcastle
83314,45,Newcastle
219168,75,Newcastle
180974,60,Newcastle
111773,45,Newcastle
564510,45,Newcastle
101148,40,Newcastle
194799,40,Newcastle
180135,50,Newcastle
109528,40,Newcastle
114243,50,Newcastle
98747,55,Newcastle
56983,45,Newcastle
170137,60,Newcastle
119471,50,Newcastle
169359,45,Newcastle
432422,55,Newcastle
77794,65,Newcastle
232977,40,Newcastle
200089,55,Newcastle
75115,80,Newcastle
104542,40,Newcastle
106618,40,Newcastle
201666,65,Newcastle
449434,50,Nottingham Forest
461682,45,Nottingham Forest
48615,45,Nottingham Forest
80226,45,Nottingham Forest
210156,65,Nottingham Forest
437753,40,Nottingham Forest
90585,45,Nottingham Forest
245830,45,Nottingham Forest
56917,45,Nottingham Forest
513046,55,Nottingham Forest
230251,50,Nottingham Forest
173399,40,Nottingham Forest
116404,45,Nottingham Forest
89076,50,Nottingham Forest
222531,60,Nottingham Forest
20066,40,Nottingham Forest
168547,45,Nottingham Forest
242898,60,Nottingham Forest
55037,50,Nottingham Forest
221403,45,Nottingham Forest
179519,50,Nottingham Forest
242885,40,Nottingham Forest
168281,45,Nottingham Forest
244930,45,Nottingham Forest
199170,45,Nottingham Forest
243345,50,Nottingham Forest
437476,45,Nottingham Forest
209035,40,Nottingham Forest
204822,45,Nottingham Forest
185253,45,Nottingham Forest
50232,50,Nottingham Forest
217331,45,Nottingham Forest
114241,45,Nottingham Forest
201440,45,Nottingham Forest
215136,45,Nottingham Forest
60689,50,Nottingham Forest
208912,45,Nottingham Forest
204968,50,Nottingham Forest
159506,45,Nottingham Forest
233821,45,Sheffield Utd
538206,40,Sheffield Utd
82691,40,Sheffield Utd
40386,40,Sheffield Utd
207189,50,Sheffield Utd
226182,45,Sheffield Utd
195473,50,Sheffield Utd
476938,45,Sheffield Utd
102549,40,Sheffield Utd
108416,45,Sheffield Utd
47247,50,Sheffield Utd
82143,45,Sheffield Utd
523700,50,Sheffield Utd
155197,45,Sheffield Utd
169432,55,Sheffield Utd
440993,55,Sheffield Utd
443211,40,Sheffield Utd
79934,50,Sheffield Utd
167878,50,Sheffield Utd
538207,45,Sheffield Utd
83427,45,Sheffield Utd
504198,50,Sheffield Utd
432990,45,Sheffield Utd
523957,55,Sheffield Utd
214572,40,Spurs
202993,55,Spurs
227127,50,Spurs
436234,50,Spurs
115556,45,Spurs
93264,45,Spurs
241157,45,Spurs
40383,40,Spurs
132015,55,Spurs
78830,125,Spurs
445044,70,Spurs
37915,50,Spurs
200826,50,Spurs
172780,75,Spurs
231372,45,Spurs
441164,50,Spurs
45034,50,Spurs
199249,45,Spurs
212319,70,Spurs
214225,40,Spurs
221632,45,Spurs
173904,45,Spurs
482442,45,Spurs
184349,45,Spurs
209042,50,Spurs
85971,90,Spurs
232859,40,Spurs
199584,40,Spurs
487053,45,Spurs
184254,50,Spurs
175941,40,Spurs
235674,55,Spurs
210494,45,West Ham
57531,60,West Ham
84182,40,West Ham
172841,60,West Ham
178186,70,West Ham
149519,55,West Ham
164555,45,West Ham
222017,45,West Ham
55459,45,West Ham
220585,50,West Ham
109533,45,West Ham
37096,45,West Ham
217593,50,West Ham
84939,60,West Ham
222018,45,West Ham
201057,45,West Ham
487837,45,West Ham
224024,60,West Ham
195899,60,West Ham
215439,50,West Ham
180151,45,West Ham
103192,45,West Ham
40669,45,West Ham
448514,45,Wolves
79602,40,Wolves
431960,40,Wolves
490721,45,Wolves
510363,45,Wolves
245923,45,Wolves
60232,45,Wolves
449988,55,Wolves
181284,55,Wolves
240299,45,Wolves
441271,40,Wolves
184754,55,Wolves
448089,50,Wolves
114128,45,Wolves
428610,45,Wolves
429414,50,Wolves
214048,45,Wolves
138001,40,Wolves
151086,50,Wolves
465351,50,Wolves
247632,55,Wolves
200600,55,Wolves
149065,50,Wolves
88484,50,Wolves
216208,40,Wolves
200402,45,Wolves
510362,45,Wolves
476502,45,Wolves
430871,55,Wolves
87835,45,Wolves
